threshold,long_window,short_window,precision,recall,f1_score,accuracy,mcc,true_positive_windows,false_positive_alerts,false_negative_windows,raw_nab_score,normalized_nab_score,model
0.999,30,1,0.04713375796178344,0.038262668045501554,0.04223744292237443,0.936650558743582,0.00990208863466252,10,748,9,-92.16306732864224,-95.02292513796885,ANN
0.999,40,1,0.05170239596469105,0.04239917269906929,0.04659090909090909,0.936650558743582,0.014233398310929702,10,752,9,-92.48182377242897,-95.58214696917364,ANN
0.9995,25,2,0.15217391304347827,0.007238883143743537,0.013820335636722606,0.9622848082150408,0.025723356176188567,5,39,14,-29.18292937126945,15.46854496268518,GRU
0.9998,30,2,0.14285714285714285,0.007238883143743537,0.013779527559055116,0.9621715493808517,0.024411827573747234,5,42,14,-29.5110713333424,14.892857309925615,GRU
0.9996,30,2,0.10126582278481013,0.008273009307135471,0.015296367112810709,0.9611144669284204,0.018885259005580926,6,71,13,-29.697754951725486,14.56534218995529,GRU
0.9998,35,2,0.09302325581395349,0.008273009307135471,0.015194681861348529,0.9608501963153125,0.017198498458075313,6,78,13,-30.43430344264975,13.273151855000439,GRU
0.999,25,2,0.09302325581395349,0.008273009307135471,0.015194681861348529,0.9608501963153125,0.017198498458075313,6,78,13,-30.46775495172548,13.21446499697284,GRU
0.9995,30,2,0.10101010101010101,0.010341261633919338,0.01876172607879925,0.9605104198127454,0.021065567086496265,6,89,13,-30.853872499681817,12.537065790031901,GRU
0.9997,30,2,0.11290322580645161,0.007238883143743537,0.01360544217687075,0.9616807610993657,0.019730521554624188,5,55,14,-30.93930112811583,12.387191003305562,GRU
0.9997,35,2,0.09259259259259259,0.010341261633919338,0.018604651162790697,0.9601706433101782,0.01913428007581225,6,98,13,-31.84387249968181,10.800223684768751,GRU
0.9996,50,3,0.08,0.004136504653567736,0.007866273352999017,0.9619072787677438,0.010085006459918309,4,46,15,-31.977508250117523,10.565774999793819,GRU
0.9998,40,2,0.09649122807017543,0.011375387797311272,0.020351526364477332,0.9600196315312595,0.021027511526961775,6,103,13,-32.39387249968181,9.835311404066996,GRU
0.9996,35,2,0.09166666666666666,0.011375387797311272,0.020239190432382707,0.9597931138628814,0.01984083657459567,6,109,13,-33.05157171309099,8.681453134928082,GRU
0.9995,50,3,0.08450704225352113,0.0062047569803516025,0.011560693641618498,0.9612654787073391,0.013268299014893983,4,65,15,-33.93080251039998,7.138942964210564,GRU
0.999,40,3,0.075,0.0031023784901758012,0.005958291956305858,0.9622093023255814,0.007981808860012365,3,37,16,-33.939977646434265,7.12284623432585,GRU
0.9997,40,2,0.08695652173913043,0.012409513960703205,0.02171945701357466,0.9591890667472063,0.019466708875764627,6,126,13,-34.83458188407067,5.553365115665486,GRU
0.9995,35,2,0.08695652173913043,0.012409513960703205,0.02171945701357466,0.9591890667472063,0.019466708875764627,6,126,13,-34.92157171309099,5.400751380542121,GRU
0.9997,25,2,0.08,0.002068252326783868,0.004032258064516129,0.9627000906070674,0.007127807194562164,2,23,17,-35.26486936525144,4.798474797804487,GRU
0.999,20,2,0.07407407407407407,0.002068252326783868,0.004024144869215292,0.9626245847176079,0.006398410302031006,2,25,17,-35.481671931318736,4.418119418739059,GRU
0.9997,50,3,0.05714285714285714,0.002068252326783868,0.003992015968063872,0.9623225611597704,0.004002248981402288,2,33,17,-35.773449278887085,3.9062293352858153,GRU
0.999,30,2,0.08163265306122448,0.012409513960703205,0.02154398563734291,0.958849290244639,0.017974308292738453,6,135,13,-35.883786307446535,3.712655600970992,GRU
0.999,50,3,0.11016949152542373,0.01344364012409514,0.023963133640552997,0.9600196315312595,0.026273555893680727,5,105,14,-36.08542562080784,3.358902419635369,GRU
0.9997,40,3,0.1,0.001034126163391934,0.0020470829068577278,0.9631908788885533,0.006579148338231673,1,9,18,-36.12068341534683,3.2970466397424,GRU
0.9996,25,2,0.08571428571428572,0.0031023784901758012,0.005988023952095807,0.9623980670492298,0.009543599199340912,2,32,17,-36.25486936525144,3.061632692541338,GRU
0.9998,25,2,0.14285714285714285,0.001034126163391934,0.002053388090349076,0.9633041377227424,0.009219483587739769,1,6,18,-36.36309455315223,2.871763941838193,GRU
0.9996,40,3,0.07142857142857142,0.001034126163391934,0.0020387359836901123,0.9630398671096345,0.004281874040182127,1,13,18,-36.56068341534683,2.525116815181,GRU
0.9995,40,3,0.05555555555555555,0.001034126163391934,0.0020304568527918783,0.9628888553307158,0.0026485379096562807,1,17,18,-37.00068341534683,1.7531869906196007,GRU
0.999,35,3,0.05263157894736842,0.001034126163391934,0.002028397565922921,0.9628511023859861,0.00230346106532821,1,18,18,-37.11068341534683,1.5602045344792508,GRU
0.9996,40,2,0.08125,0.01344364012409514,0.023070097604259095,0.9584340078526125,0.018597830991808655,6,147,13,-37.115145541081986,1.5523762437158133,GRU
0.999,50,4,0.047619047619047616,0.001034126163391934,0.0020242914979757085,0.9627755964965268,0.0016689166857301102,1,20,18,-37.333512975472104,1.169275481627888,GRU
0.999,20,3,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,GRU
0.999,20,4,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,GRU
0.999,20,5,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,GRU
0.999,25,3,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,GRU
0.999,25,4,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,GRU
0.999,25,5,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,GRU
0.999,30,4,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,GRU
0.999,30,5,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,GRU
0.999,35,4,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,GRU
0.999,35,5,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,GRU
